"연번","미디어타입","제목","장소명","장소타입","장소설명","영업시간","브레이크타임","휴무일","주소","위도","경도","전화번호","최종작성일"
"2444","show","놀라운 토요일","블랑제리331","cafe","놀라운토요일 160회 페이스트리소시지빵 맛집","화-일 11시 - 19시 30분","정보없음","월요일","강원도 춘천시 춘천로255번길 2 1층","37.8795762","127.741826","0507-1370-2550","2022-11-18"
"2445","show","놀라운 토요일","부안막국수","restaurant","놀라운토요일 160회 막국수, 총떡 맛집","매일 11시 - 21시","정보없음","연중무휴","강원도 춘천시 후석로344번길 8","37.881626","127.749633","033-254-0654","2022-11-18"
"2446","show","놀라운 토요일","태백한우직판장 창죽테마영농조합법인","restaurant","놀라운토요일 130회 태백한우 맛집","화-일 10시 30분 - 21시","정보없음","월요일","강원도 태백시 서황지로 68","37.1759503","128.98528","0507-1375-6992","2022-11-18"
"2447","show","놀라운 토요일","태백닭갈비","restaurant","놀라운토요일 130회 태백닭갈비 맛집","매일 10시 - 21시","정보없음","연중무휴","강원도 태백시 중앙남1길 10","37.1713827","128.990655","033-553-8119","2022-11-18"
"2448","show","놀라운 토요일","정가네메밀막국수","restaurant","놀라운토요일 218회 순메밀국수, 수육 맛집","화-일 10시 30분 - 19시 30분","정보없음","월요일","강원도 평창군 진부면 석두로 13","37.6361274","128.55497","033-336-6562","2022-11-18"
"2449","show","놀라운 토요일","전원감자탕","restaurant","놀라운토요일 218회 통마늘뼈찜 맛집","금-수 08시 - 21시","15시 - 17시","목요일","강원도 평창군 진부면 진부중앙로 51","37.6363283","128.5575","033-336-9959","2022-11-18"
"2450","show","놀라운 토요일","카페덤","cafe","놀라운토요일 218회 크로플 맛집","월-토 09시 - 21시","정보없음","일요일","강원도 평창군 진부면 청송로 61","37.6367088","128.553237","0507-1442-1383","2022-11-18"
"2451","show","놀라운 토요일","메리엘","cafe","놀라운토요일 165회 샌드위치 맛집","매일 09시 30분 - 22시","정보없음","연중무휴","강원도 횡성군 횡성읍 앞들서로 1","37.4876277","127.984799","0507-1362-0613","2022-11-18"
"2452","show","놀라운 토요일","이웃사촌","restaurant","놀라운토요일 165회 더덕취나물밥 맛집","정보없음","정보없음","정보없음","강원도 횡성군 횡성읍 읍상서로 3-1","37.4893889","127.987524","033-343-4438","2022-11-18"
"2453","show","놀라운 토요일","대흥정육식당","restaurant","놀라운토요일 165회 한우모둠구이 맛집","화-일 11시 - 21시","정보없음","월요일","강원도 횡성군 횡성읍 읍상서로5번길 15","37.4895811","127.987165","0507-1336-2312","2022-11-18"
"2454","show","놀라운 토요일","양수리연핫도그","cafe","놀라운토요일 188회 수제연잎핫도그 맛집","월-토 10시 - 19시 10분","정보없음","일요일","경기도 가평군 청평면 경춘로 552","37.7199033","127.40345","0507-1315-8487","2022-11-18"
"2455","show","놀라운 토요일","명인이상용제빵소","cafe","놀라운토요일 210회 메이플크림치즈빵 맛집","화-일 08시 - 24시","정보없음","월요일","경기도 고양시 덕양구 지도로 35","37.6203939","126.824306","031-974-5005","2022-11-18"
"2456","show","놀라운 토요일","능곡할머니북어탕","restaurant","놀라운토요일 210회 북어탕맛집","화-일 07시 - 15시","정보없음","월요일","경기도 고양시 덕양구 토당로 66-15","37.6215923","126.8189779","0507-1362-6753","2022-11-18"
"2457","show","놀라운 토요일","토당동 정식당","restaurant","놀라운토요일 210회 오징어볶음 맛집","월-토 10시 30분 - 22시 30분","평일만 16시 - 17시","일요일","경기도 고양시 덕양구 토당로32번길 42","37.6203298","126.823615","031-970-8643","2022-11-18"
"2458","show","놀라운 토요일","청솔가든","restaurant","놀라운토요일 171회 해신탕 맛집","매일 10시 - 21시","정보없음","연중무휴","경기도 고양시 덕양구 행주산성로 30","37.6034528","126.822591","031-970-8687","2022-11-18"
"2459","show","놀라운 토요일","우리곱창","restaurant","놀라운토요일 227회 한우곱창 맛집","월-토 16시 - 22시","정보없음","일요일","경기도 광주시 경안로25번길 10-3","37.4090473","127.257016","0507-1400-5695","2022-11-18"
"2460","show","놀라운 토요일","챔프다이너","restaurant","놀라운토요일 227회 해시브라운버거 맛집","화-일 11시 30분 - 21시","정보없음","월요일","경기도 광주시 광주대로55번길 8 2층","37.4116821","127.259385","0507-1445-2774","2022-11-18"
"2461","show","놀라운 토요일","아가일 커피 클럽","cafe","놀라운토요일 227회 바노피파이 맛집","화-일 12시 - 22시","평일만 15시 - 17시","월요일","경기도 광주시 중앙로129번길 11 1층","37.4110038","127.256401","0507-1365-4858","2022-11-18"
"2462","show","놀라운 토요일","골뱅이 진족발","restaurant","놀라운토요일 233회 골뱅이 맛집","월-토 12시 - 22시","정보없음","일요일","경기도 군포시 군포로735번길 15-3","37.3704663","126.942779","031-399-1165","2022-11-18"
"2463","show","놀라운 토요일","우브 베이커리","cafe","놀라운토요일 233회 콘치즈퀸아망 맛집","수-월 11시 - 22시","정보없음","화요일","경기도 군포시 산본천로 203 1층","37.3708253","126.939979","0507-1396-5567","2022-11-18"
"2464","show","놀라운 토요일","릴라웨이","restaurant","놀라운토요일 233회 참나물파스타 맛집","수-월 12시 - 21시 30분","15시 - 17시","화요일","경기도 군포시 산본천로202번길 18 1층","37.3697264","126.940601","0507-1395-4441","2022-11-18"
"2465","show","놀라운 토요일","부천아귀","restaurant","놀라운토요일 211회 백아귀찜 맛집","화-금 16시 - (익일) 00시 30분, 주말 12시 - (익일) 00시 30분","정보없음","월요일","경기도 부천시 계남로301번길 6 1층","37.5038603","126.781662","0507-1389-8879","2022-11-18"
"2466","show","놀라운 토요일","오룸커피","cafe","놀라운토요일 211회 옥수수스무디 맛집","매일 10시 30분 - 19시","정보없음","연중무휴","경기도 부천시 부천로 228","37.5043841","126.787259","070-8860-8288","2022-11-18"
"2467","show","놀라운 토요일","짱아숯불닭바베큐","restaurant","놀라운토요일 211회 숯불닭바베큐 맛집","매일 15시 - (익일) 02시","정보없음","연중무휴","경기도 부천시 옥산로 150","37.5070116","126.780465","032-672-9199","2022-11-18"
"2468","show","놀라운 토요일","상동회센타","restaurant","놀라운토요일 182회 꽃게탕 맛집","매일 11시 - 22시","정보없음","연중무휴","경기도 부천시 장말로200번길 53","37.4904996","126.763655","032-664-8840","2022-11-18"
"2469","show","놀라운 토요일","세가지","restaurant","놀라운토요일 226회 치즈페퍼로니쿠키 맛집","금-수 12시 - 21시 30분","정보없음","목요일","경기도 성남시 중원구 둔촌대로64번길 4-4 1층","37.4292968","127.125776","0507-1346-1847","2022-11-18"
"2470","show","놀라운 토요일","토부덮밥","restaurant","놀라운토요일 226회 소고기튀김덮밥 맛집","월-토 11시 - 22시","정보없음","일요일","경기도 성남시 중원구 성남대로 1132 1층 118호","37.4310224","127.129813","0507-1425-4268","2022-11-18"
"2471","show","놀라운 토요일","등갈비달인 모란 본점","restaurant","놀라운토요일 226회 김치치즈등갈비 맛집","일-목 12시 - 23시, 금-토 12시 - 24시","정보없음","연중무휴","경기도 성남시 중원구 제일로35번길 52 1층","37.432453","127.131623","0507-1403-0889","2022-11-18"
"2472","show","놀라운 토요일","초암골","restaurant","놀라운토요일 221회 산양산삼삼계탕 맛집","월-토 11시 - 21시 30분","정보없음","일요일","경기도 수원시 권선구 권선로713번길 20","37.2594165","127.029993","0507-1471-2662","2022-11-18"
"2473","show","놀라운 토요일","황해면옥 수원점","restaurant","놀라운토요일 221회 평양냉면 맛집","화-일 11시 - 21시","화-목 15시 30분 - 16시 30분","월요일","경기도 수원시 권선구 세지로112번길 56","37.2608148","127.022272","0507-1490-8188","2022-11-18"
"2474","show","놀라운 토요일","도톰카페","cafe","놀라운토요일 209회 젤라또 음료 맛집","매일 09시 - 21시","정보없음","1, 3번째 일요일","경기도 수원시 영통구 중부대로256번길 48 1층(매탄동)","37.2726127","127.0427493","031-213-3536","2022-11-18"
"2475","show","놀라운 토요일","일호선","restaurant","놀라운토요일 209회 얼큰수제비찌개, 삼겹말이 맛집","월-토 17시 - (익일) 02시","정보없음","일요일","경기도 수원시 영통구 중부대로271번길 19-6 1층","37.2754323","127.045311","031-216-7892","2022-11-18"
"2476","show","놀라운 토요일","팔호선","restaurant","놀라운토요일 209회 트러플뇨끼 맛집","월-토 17시 - (익일) 02시","정보없음","일요일","경기도 수원시 영통구 중부대로271번길 19-6 2층","37.2754323","127.045311","0507-1390-9344","2022-11-18"
"2477","show","놀라운 토요일","장비빔국수와 굴국밥 보쌈 수원본점","restaurant","놀라운토요일 155회 보쌈, 국수 맛집","매일 11시 30분 - 22시","정보없음","연중무휴","경기도 수원시 장안구 수원천로 439","37.2917114","127.021107","050-7987-5494","2022-11-18"
"2478","show","놀라운 토요일","오적어","restaurant","놀라운토요일 155회 오마이오징어한상 맛집","매일 16시 - 22시","정보없음","연중무휴","경기도 수원시 장안구 연무로42번길 30-1","37.2961612","127.027842","031-252-4007","2022-11-18"
"2479","show","놀라운 토요일","대포햇도그 연무점","restaurant","놀라운토요일 155회 튀김소떡소떡 맛집","매일 11시 - 23시","정보없음","1, 3번째 화요일","경기도 수원시 장안구 월드컵로428번길 30-2","37.2946748","127.026555","0507-1351-1179","2022-11-18"
"2480","show","놀라운 토요일","브리지선데이","cafe","놀라운토요일 184회 라즈베리초코컵케이크 맛집","금-수 10시 - 21시","정보없음","목요일","경기도 수원시 팔달구 덕영대로803번길 67 b1","37.2772154","126.998552","0507-1492-1285","2022-11-18"
"2481","show","놀라운 토요일","원조뚱이네부대찌개","restaurant","놀라운토요일 184회 부대찌개 맛집","매일 17시 - (익일) 03시","정보없음","연중무휴","경기도 수원시 팔달구 동말로 40","37.2783417","126.998575","031-253-9296","2022-11-18"
"2482","show","놀라운 토요일","닭계집","restaurant","놀라운토요일 184회 왕갈비치킨 맛집","매일 14시 - (익일) 01시","정보없음","연중무휴","경기도 수원시 팔달구 동말로78번길 18-11","37.2777741","127.001913","0507-1490-2528","2022-11-18"
"2483","show","놀라운 토요일","이가네생칼국수","restaurant","놀라운토요일 229회 닭한마리칼국수 맛집","화-일 10시 - 21시","정보없음","월요일","경기도 시흥시 신천3길 9","37.4394471","126.7848883","031-313-0915","2022-11-18"
"2484","show","놀라운 토요일","눈꽃갈비","restaurant","놀라운토요일 229회 소갈비 맛집","월-토 15시 - 24시","정보없음","일요일","경기도 시흥시 호현로22번길 19","37.4410778","126.786264","0507-1332-3347","2022-11-18"
"2485","show","놀라운 토요일","세컨드코너","restaurant","놀라운토요일 180회 옛날수제버거 맛집","화-토 12시 - 21시","15시 - 17시","월요일, 일요일","경기도 안성시 시장길 37 b동 13호 세컨드코너","37.0066568","127.270537","0507-1372-3669","2022-11-18"
"2486","show","놀라운 토요일","커스터마이즈","cafe","놀라운토요일 180회 레몬소르베에이드 맛집","화-토 12시 - 21시","정보없음","월요일, 일요일, 추석연휴","경기도 안성시 안성맞춤대로 1078 1층","37.0095046","127.270334","0507-1303-9117","2022-11-18"
"2487","show","놀라운 토요일","안일옥 본점","restaurant","놀라운토요일 180회 장터국밥 맛집","매일 08시 - 21시","15시 - 17시","명절(당일,다음날)","경기도 안성시 중앙로411번길 20","37.0076414","127.2728901","031-675-2486","2022-11-18"
"2488","show","놀라운 토요일","크림브라운","cafe","놀라운토요일 215회 쫀득바 맛집","수-월 11시 - 18시 30분","정보없음","화요일","경기도 안양시 만안구 안양로323번길 36 1층","37.3996805","126.91808","031-441-7979","2022-11-18"
"2489","show","놀라운 토요일","안양감자탕","restaurant","놀라운토요일 215회 콩비지감자탕 맛집","매일 11시 - 24시","정보없음","연중무휴","경기도 안양시 만안구 장내로 143","37.3981254","126.923344","031-441-2262","2022-11-18"
"2490","show","놀라운 토요일","호유동","restaurant","놀라운토요일 215회 대창덮밥 맛집","매일 11시 30분 - 21시 30분 ","정보없음","연중무휴","경기도 안양시 만안구 장내로139번길 62 1층","37.4002413","126.921241","031-466-2746","2022-11-18"
"2491","show","놀라운 토요일","두물길한정식","restaurant","놀라운토요일 188회 꽃게장 맛집","매일 10시 - 20시 30분","정보없음","연중무휴","경기도 양평군 양서면 양수로 111 2층","37.5419107","127.322734","031-775-7096","2022-11-18"
"2492","show","놀라운 토요일","소문난연칼국수","restaurant","놀라운토요일 188회 연잎장칼국수 맛집","매일 10시 - 20시 30분","정보없음","연중무휴","경기도 양평군 양서면 양수로152번길 2-1","37.5444513","127.319475","031-773-7413","2022-11-18"
"2493","show","놀라운 토요일","구월식탁","restaurant","놀라운토요일 158회 양식 맛집","매일 12시 - 22시","15시 - 17시","연중무휴","경기도 용인시 처인구 금령로56번길 5-14","37.234279","127.203933","0507-1328-0671","2022-11-18"
"2494","show","놀라운 토요일","911온반","restaurant","놀라운토요일 158회 꽃게가찜한닭 맛집","매일 11시 30분 - 22시","15시 - 17시 30분","연중무휴","경기도 용인시 처인구 금령로71번길 2 2층","37.2353597","127.20424","0507-1331-9210","2022-11-18"
"2495","show","놀라운 토요일","클래식129","cafe","놀라운토요일 158회 오자몽요거트, 패션프루츠 맛집","매일 11시 - 21시","정보없음","연중무휴","경기도 용인시 처인구 금령로78번길 8","37.2345206","127.204903","031-336-1106","2022-11-18"
"2496","show","놀라운 토요일","몽크루아상","cafe","놀라운토요일 135회 에그페이스트리 맛집","수-토 12시 - 20시","정보없음","월요일, 화요일, 일요일","경기도 이천시 서희로39번길 3","37.2790439","127.442162","0507-1436-7720","2022-11-18"
"2497","show","놀라운 토요일","WOO BAM","restaurant","놀라운토요일 135회 매운짜장떡볶이 맛집","화-일 16시 - (익일) 01시","정보없음","월요일","경기도 이천시 서희로72번길 26","37.2816119","127.444545","0507-1401-1986","2022-11-18"
"2498","show","놀라운 토요일","숯불쪽갈비 개미식당","restaurant","놀라운토요일 135회 쪽갈비 맛집","매일 15시 - 24시","정보없음","연중무휴","경기도 이천시 어재연로 20 1층","37.2786137","127.443941","0507-1363-9992","2022-11-18"
"2499","show","놀라운 토요일","언칼국수 금촌본점","restaurant","놀라운토요일 145회 바지락칼국수 맛집","화-일 12시 - (익일) 05시","정보없음","월요일","경기도 파주시 금정20길 23","37.7619419","126.7747662","031-949-8839","2022-11-18"
"2500","show","놀라운 토요일","초리골초계탕","restaurant","놀라운토요일 172회 초계탕 맛집","목-화 11시 - 17시","정보없음","수요일","경기도 파주시 법원읍 초리골길 110","37.8510934","126.889384","0507-1410-5250","2022-11-18"
"2501","show","놀라운 토요일","콩밭뜰","restaurant","놀라운토요일 145회 짬뽕순두부 맛집","매일 06시 - 21시","정보없음","1, 3번째 일요일","경기도 파주시 새꽃로 205 1층 콩밭뜰","37.7658346","126.775204","031-944-0868","2022-11-18"
"2502","show","놀라운 토요일","오븐애","cafe","놀라운토요일 145회 쿠키슈 맛집","수-토 12시 - 20시","정보없음","월요일, 화요일, 일요일","경기도 파주시 아동로 13 1층","37.7648093","126.776137","070-7543-2358","2022-11-18"
"2503","show","놀라운 토요일","록키즈버거","restaurant","놀라운토요일 127회 칠리치즈버거 맛집","매일 11시 30분 - 21시","정보없음","연중무휴","경기도 평택시 쇼핑로 8","37.0803619","127.050607","0507-1345-4502","2022-11-18"
"2504","show","놀라운 토요일","카운팅스타","cafe","놀라운토요일 127회 바나나푸딩 맛집","월-토 08시 - 18시","정보없음","일요일","경기도 평택시 쇼핑로 8-1 1층","37.0803529","127.050563","031-662-7741","2022-11-18"
"2505","show","놀라운 토요일","감골순대국","restaurant","놀라운토요일 127회 순댓국 맛집","매일 07시 30분 - 21시","정보없음","연중무휴","경기도 평택시 중앙시장로 23-1","37.0802618","127.052913","031-666-4281","2022-11-18"
"2506","show","놀라운 토요일","토속밀냉면칼국수","restaurant","놀라운토요일 164회 닭칼국수 맛집","매일 11시 - 21시","정보없음","연중무휴","경기도 하남시 대성로299번길 39","37.5372252","127.205462","031-791-6354","2022-11-18"
"2507","show","놀라운 토요일","솔온","cafe","놀라운토요일 231회 티그레 맛집","화-토 10시 - 19시","정보없음","월요일, 일요일","경기도 하남시 덕풍공원로 19-1 2층","37.5413816","127.198504","0507-1316-8613","2022-11-18"
"2508","show","놀라운 토요일","하남도래창구이","restaurant","놀라운토요일 231회 홍막창 맛집","매일 13시 - 23시","정보없음","연중무휴","경기도 하남시 수리북로 21","37.541591","127.202532","031-792-8611","2022-11-18"
"2509","show","놀라운 토요일","민혜네묵은지삼겹살","restaurant","놀라운토요일 164회 묵은지오삼두루치기 맛집","매일 11시 - 24시","정보없음","연중무휴","경기도 하남시 신평로 65","37.5394328","127.205355","031-795-5631","2022-11-18"
"2510","show","놀라운 토요일","회뜨는풍경","restaurant","놀라운토요일 231회 대하구이 맛집","매일 15시 - 24시","15시 - 17시","연중무휴","경기도 하남시 신평로55번길 28","37.5391926","127.203544","0507-1373-4229","2022-11-18"
"2511","show","놀라운 토요일","밀양밀면맛집","restaurant","놀라운토요일 128회 밀면 맛집","화-일 11시 - 17시","정보없음","월요일","경상남도 밀양시 남천강변로 49","35.4914906","128.752041","0507-1349-8892","2022-11-18"
"2512","show","놀라운 토요일","Doft Coffee Roasters","cafe","놀라운토요일 128회 단풍라떼 맛집","월-토 11시 - 22시","정보없음","일요일","경상남도 밀양시 삼문4길 3-1","35.4877732","128.74925","0507-1316-7794","2022-11-18"
"2513","show","놀라운 토요일","산삼장어구이","restaurant","놀라운토요일 128회 장어산삼구이 맛집","매일 11시 - 21시","정보없음","연중무휴","경상남도 밀양시 영남루2길 5","35.4933925","128.754496","0507-1350-6166","2022-11-18"
"2514","show","놀라운 토요일","고래상회","restaurant","놀라운토요일 174회 대창닭볶음탕 맛집","매일 12시 - 23시","정보없음","연중무휴","경상남도 창원시 성산구 마디미로 28 3층 C동 347호","35.2222083","128.683374","0507-1477-9596","2022-11-18"
"2515","show","놀라운 토요일","북면오리농원","restaurant","놀라운토요일 174회 오리채소산더미 맛집","월-토 10시 - 21시, 일 10시 - 15시","정보없음","연중무휴","경상남도 창원시 성산구 마디미로 28 상남시장 D동 3층 308호","35.2222083","128.683374","055-287-8248","2022-11-18"
"2516","show","놀라운 토요일","니재빵집","cafe","놀라운토요일 174회 바닐라빈왕슈 맛집","매일 08시 - 23시","정보없음","연중무휴","경상남도 창원시 성산구 원이대로 674","35.2233047","128.686834","0507-1498-3350","2022-11-18"
"2517","show","놀라운 토요일","블레","cafe","놀라운토요일 228회 시나몬롤 맛집","금-수 11시 - 20시","정보없음","목요일","경상북도 경주시 동문로 16 1층","35.8460997","129.214082","0507-1382-6573","2022-11-18"
"2518","show","놀라운 토요일","오륙돈","restaurant","놀라운토요일 228회 돈곰탕 맛집","매일 11시 30분 - 22시","평일만 15시 30분 - 17시","연중무휴","경상북도 경주시 동성로 129","35.8432511","129.214644","0507-1493-8089","2022-11-18"
"2519","show","놀라운 토요일","고향밀면 본점","restaurant","놀라운토요일 228회 물밀면, 비빔밀면 맛집","월-화,목-금 10시 30분 - 16시 30분, 주말 10시 30분 - 17시 30분","정보없음","수요일, 명절(당일)","경상북도 경주시 태종로791번길 7","35.8415701","129.214432","0507-1323-7169","2022-11-18"
"2520","show","놀라운 토요일","진이나루터","restaurant","놀라운토요일 234회 쪼림닭 맛집","정보없음","정보없음","정보없음","경상북도 안동시 경동로 862","36.5593157","128.750021","054-823-9485","2022-11-18"
"2521","show","놀라운 토요일","돈의맛숯불구이","restaurant","놀라운토요일 234회 항정살 맛집","매일 11시 30분 - 22시","15시 - 16시 30분","2, 4번째 일요일","경상북도 안동시 용상시장6길 6","36.5578654","128.748771","054-857-4032","2022-11-18"
"2522","show","놀라운 토요일","츈츈","cafe","놀라운토요일 234회 우유롤케이크, 라즈베리소 맛집","화-토 12시 - 20시","정보없음","월요일, 일요일","경상북도 안동시 전거리8길 76 1층","36.5591932","128.748544","0507-1321-4650","2022-11-18"
"2523","show","놀라운 토요일","시민제과","cafe","놀라운토요일 137회 찹쌀떡 맛집","매일 09시 - 22시","정보없음","연중무휴","경상북도 포항시 북구 불종로 48","36.0383328","129.364674","0507-1302-2330","2022-11-18"
"2524","show","놀라운 토요일","장기식당","restaurant","놀라운토요일 137회 소머리곰탕 맛집","평일 08시 - 20시, 주말 08시 - 19시 30분","평일 14시 - 15시, 주말 14시 - 16시","월요일","경상북도 포항시 북구 죽도시장3길 9-12","36.0358823","129.365577","054-247-0764","2022-11-18"
"2525","show","놀라운 토요일","엄마네 밥상","restaurant","놀라운토요일 222회 낙지볶음 맛집","월-토 11시 - 20시","정보없음","일요일","광주광역시 남구 구성로 16-1","35.1522521","126.899287","0507-1385-0592","2022-11-18"
"2526","show","놀라운 토요일","김명화서리태콩국수","restaurant","놀라운토요일 222회 서리태콩국수 맛집","매일 11시 - 20시","15시 30분 - 17시","연중무휴","광주광역시 남구 천변좌로338번길 16","35.1486182","126.908674","0507-1386-3232","2022-11-18"
"2527","show","놀라운 토요일","꽃돼지수산식당","restaurant","놀라운토요일 154회 사천식해물볶음 맛집","정보없음","정보없음","정보없음","광주광역시 동구 양림로 120 1층 125호","35.1399472","126.921292","062-232-8817","2022-11-18"
"2528","show","놀라운 토요일","이소양과점","cafe","놀라운토요일 154회 커스터드푸딩 맛집","화-토 12시 - 19시","정보없음","월요일, 일요일","광주광역시 동구 제봉로 63","35.1441563","126.921057","062-222-0323","2022-11-18"
"2529","show","놀라운 토요일","양동빵집","cafe","놀라운토요일 222회 소금빵 맛집","매일 07시 - 20시","정보없음","1, 3, 5번째 일요일","광주광역시 서구 경열로 150","35.1542189","126.90149","0507-1399-1682","2022-11-18"
"2530","show","놀라운 토요일","울엄마손메밀묵 관문점","restaurant","놀라운토요일 214회 손메밀냉묵채 맛집","월-토 10시 30분 - 19시","정보없음","일요일","대구광역시 남구 대명서로 151 1층 골목안","35.8343421","128.55734","0507-1481-8114","2022-11-18"
"2531","show","놀라운 토요일","유쾌한뭉티기","restaurant","놀라운토요일 214회 한우세트 맛집","매일 16시 30분 - (익일) 02시","정보없음","연중무휴","대구광역시 달서구 야외음악당로 3 1층","35.837719","128.552647","0507-1334-5425","2022-11-18"
"2532","show","놀라운 토요일","딜리저트 송현점","cafe","놀라운토요일 214회 요거트케이크 맛집","목-화 10시 - 22시","정보없음","수요일","대구광역시 달서구 중흥로 14 1층","35.8324044","128.555266","0507-1426-5103","2022-11-18"
"2533","show","놀라운 토요일","보람베이킹카페","cafe","놀라운토요일 208회 콘치즈감자스콘 맛집","평일 11시 - 21시, 토 11시 - 19시","정보없음","일요일","대구광역시 달성군 현풍읍 테크노북로 33-8 1층","35.6927852","128.449264",,"2022-11-18"
"2534","show","놀라운 토요일","현풍한우왕본점","restaurant","놀라운토요일 208회 한우차돌된장찌개 맛집","월-토 11시 - 21시","정보없음","일요일","대구광역시 달성군 현풍읍 현풍동로 198","35.7018069","128.440168","053-611-5282","2022-11-18"
"2535","show","놀라운 토요일","미소갈비찜","restaurant","놀라운토요일 208회 돼지갈비찜 맛집","화-일 11시 - 21시","정보없음","월요일","대구광역시 달성군 현풍읍 현풍로6길 5","35.694771","128.44224","0507-1479-1133","2022-11-18"
"2536","show","놀라운 토요일","십이리할매소구레국밥","restaurant","놀라운토요일 150회 소구레국수 맛집","매일 07시 - 19시","정보없음","연중무휴","대구광역시 달성군 현풍읍 현풍로6길 5","35.694771","128.44224","053-611-5887","2022-11-18"
"2537","show","놀라운 토요일","달달스푼","cafe","놀라운토요일 150회 제리치즈케이크 맛집","화-일 11시 30분 - 19시","정보없음","월요일","대구광역시 달성군 현풍읍 현풍로6길 5 청년몰 205호","35.694771","128.44224",,"2022-11-18"
"2538","show","놀라운 토요일","현주떡볶이","restaurant","놀라운토요일 150회 치킨치즈떡볶이 맛집","매일 11시 - 19시","정보없음","연중무휴","대구광역시 달성군 현풍읍 현풍로6길 5 현풍백년도깨비시장 청년몰 102호","35.694771","128.44224","0507-1367-3288","2022-11-18"
"2539","show","놀라운 토요일","형제횟집","restaurant","놀라운토요일 162회 물회 맛집","월-토 11시 30분 - 22시 30분","15시 - 16시 30분","일요일","대전광역시 대덕구 중리로76번길 22","36.3657138","127.426381","0507-1300-2957","2022-11-18"
"2540","show","놀라운 토요일","등뼈감자탕&등갈비","restaurant","놀라운토요일 162회 묵은지감자탕 맛집","화-일 07시 - 23시 30분, 월 07시 - 22시","정보없음","연중무휴","대전광역시 대덕구 중리북로 35","36.3663453","127.426183","0507-1488-3005","2022-11-18"
"2541","show","놀라운 토요일","카페공사이","cafe","놀라운토요일 162회 생크림폭탄와플 맛집","화-일 11시 - 19시","정보없음","월요일","대전광역시 대덕구 중리북로31번길 41 1층","36.364739","127.426832","0507-1491-0263","2022-11-18"
"2542","show","놀라운 토요일","더가득한 패밀리레스토랑","restaurant","놀라운토요일 230회 파돈가스 맛집","화-일 11시 30분 - 20시 30분","15시 - 17시","월요일","대전광역시 서구 도마2길 64 더가득한 2층","36.3144621","127.38155","0507-1380-8895","2022-11-18"
"2543","show","놀라운 토요일","신가네추어탕","restaurant","놀라운토요일 230회 추어탕 맛집","매일 11시 - 21시 30분","정보없음","연중무휴","대전광역시 서구 도마3길 69","36.3160068","127.380378","042-525-8355","2022-11-18"
"2544","show","놀라운 토요일","하오치띵호와","restaurant","놀라운토요일 136회 뚝배기고추짬뽕 맛집","매일 00시 - 24시","정보없음","연중무휴","대전광역시 유성구 문화원로6번길 90","36.3581201","127.337721","050-7573-5755","2022-11-18"
"2545","show","놀라운 토요일","시장보리밥집","restaurant","놀라운토요일 136회 오리인삼주물럭 맛집","월-토 09시 - 20시","정보없음","일요일(장날시 영업)","대전광역시 유성구 유성대로730번길 33","36.358003","127.334478","042-822-0657","2022-11-18"
"2546","show","놀라운 토요일","어나더그래비티","cafe","놀라운토요일 230회 크림브륄레 맛집","매일 10시 - 22시","정보없음","마지막주 월요일","대전광역시 중구 유등천동로 374 1층","36.3151468","127.387244","0507-1463-1781","2022-11-18"
"2547","show","놀라운 토요일","무봤나세발낙지","restaurant","놀라운토요일 143회 매생이연포탕 맛집","월-토 17시 - 24시","정보없음","일요일","부산광역시 동구 조방로49번길 11 제일상가아파트","35.1397799","129.060591","051-631-3234","2022-11-18"
"2548","show","놀라운 토요일","범일빈대떡","restaurant","놀라운토요일 143회 감자해물파전 맛집","매일 15시 - 24시","정보없음","1, 3번째 일요일","부산광역시 동구 중앙대로 519","35.1396016","129.056231","0507-1304-0106","2022-11-18"
"2549","show","놀라운 토요일","청림식당","restaurant","놀라운토요일 143회 민물장어더덕불고기 맛집","매일 11시 30분 - 21시","15시 - 16시","연중무휴","부산광역시 동구 진시장로 13 진시장주차빌딩 104호","35.1377057","129.058027","051-642-5697","2022-11-18"
"2550","show","놀라운 토요일","담미옥","restaurant","놀라운토요일 187회 온반 맛집","화-금 11시 - 20시 30분, 토 11시 - 20시 30분, 일 11시 - 15시","월-토 15시-17시","월요일","부산광역시 부산진구 복지로 15 개금포르투나 상가 103호","35.1517717","129.020603","0507-1325-5318","2022-11-18"
"2551","show","놀라운 토요일","달봉이족발","restaurant","놀라운토요일 187회 불족볶음 맛집","월-토 14시 - 23시","정보없음","일요일","부산광역시 부산진구 복지로13번길 45","35.1521048","129.022784","051-898-9777","2022-11-18"
"2552","show","놀라운 토요일","영심이수제도너츠","cafe","놀라운토요일 187회 백앙금생도넛, 팥찹쌀도넛 맛집","매일 10시 30분 - 24시","정보없음","연중무휴","부산광역시 부산진구 복지로13번길 47","35.1521108","129.02296",,"2022-11-18"
"2553","show","놀라운 토요일","동래식당","restaurant","놀라운토요일 179회 갈치정식 맛집","정보없음","정보없음","정보없음","부산광역시 부산진구 서면로 56 1층 차3호","35.1556457","129.058149","051-803-8108","2022-11-18"
"2554","show","놀라운 토요일","몰레","cafe","놀라운토요일 179회 꿀사과요거트시폰케이크 맛집","매일 11시 - 23시","정보없음","연중무휴","부산광역시 부산진구 신천대로50번길 70 2층","35.1539103","129.060047","051-807-2272","2022-11-18"
